IID1,IID2,G,famIDseqID
344,264,0.269309007500802,16
372,264,0.252412153445298,16
616,264,0.308940184223534,16
865,264,0.240389288852988,16
936,264,0.282888409275766,16
1068,264,0.320539134833276,16
1127,264,0.247427683673029,16
549,344,0.234410701000369,16
654,344,0.281081084153224,16
684,344,0.230487339731111,16
830,344,0.221137727040281,16
950,344,0.153502438828167,16
1103,344,0.224940180057654,16
1107,344,0.233875599234764,16
549,372,0.249474928643485,16
654,372,0.285317754868011,16
684,372,0.336312404111863,16
830,372,0.318004031444025,16
950,372,0.276535078259021,16
1103,372,0.188444865667599,16
1107,372,0.216983563620126,16
616,549,0.313891789893772,16
865,549,0.26312904117793,16
936,549,0.220016247364697,16
1068,549,0.282815655677204,16
1127,549,0.293930359153042,16
654,616,0.265801592431716,16
684,616,0.242846921496582,16
830,616,0.208861279824067,16
950,616,0.177298740545757,16
1103,616,0.213286473401243,16
1107,616,0.269578265610172,16
865,654,0.240187165043514,16
936,654,0.22571926501557,16
1068,654,0.283964634703191,16
1127,654,0.346121256407001,16
865,684,0.329318931866841,16
936,684,0.229943809827894,16
1068,684,0.273632762998279,16
1127,684,0.33489035089876,16
865,830,0.253373727983299,16
936,830,0.232509773181941,16
1068,830,0.315816120904845,16
1127,830,0.260135350606111,16
950,865,0.275916307930561,16
1103,865,0.232278143495453,16
1107,865,0.262495822122656,16
950,936,0.287596659939788,16
1103,936,0.175925579045995,16
1107,936,0.253388721238631,16
1068,950,0.255022927833593,16
1127,950,0.262070169620513,16
1103,1068,0.268148746742457,16
1107,1068,0.281928981851856,16
1127,1103,0.282442549102642,16
1127,1107,0.24362535450375,16
48,38,0.197365231973544,18
55,38,0.219317977594835,18
195,38,0.170279879156775,18
364,38,0.237112508201189,18
394,38,0.172755890195883,18
545,38,0.169995922280807,18
614,38,0.212128289721137,18
628,38,0.262750048528608,18
653,38,0.222086717513054,18
670,38,0.232732876954538,18
688,38,0.36402500605352,18
740,38,0.163482852440463,18
785,38,0.191906933253892,18
857,38,0.180043838238581,18
870,38,0.173806946523435,18
878,38,0.2054317369711,18
880,38,0.161746648869655,18
961,38,0.261499170675786,18
1121,38,0.26406982631977,18
1141,38,0.30951439206603,18
181,48,0.269029237940858,18
208,48,0.164802177855911,18
231,48,0.246974540504791,18
378,48,0.321095540380323,18
394,48,0.325177852418683,18
475,48,0.173869968647849,18
545,48,0.380193434801228,18
628,48,0.302787470233515,18
670,48,0.429817323798454,18
683,48,0.266619643020336,18
688,48,0.358769931678532,18
740,48,0.40278229379304,18
785,48,0.385972958877147,18
880,48,0.469337557250539,18
961,48,0.360722816414891,18
1019,48,0.235767303475729,18
1035,48,0.232761836877688,18
1122,48,0.197622229850082,18
1141,48,0.335063339146871,18
181,55,0.280934891449045,18
208,55,0.173509269341401,18
231,55,0.337018733716682,18
378,55,0.248542726653399,18
394,55,0.353362991873205,18
475,55,0.282856698733124,18
545,55,0.416583688059275,18
628,55,0.299642559607942,18
670,55,0.448999819525574,18
683,55,0.294896910736284,18
688,55,0.449120173478629,18
740,55,0.310345815725287,18
785,55,0.409589390608728,18
880,55,0.395910654010069,18
961,55,0.306726151033511,18
1019,55,0.262510942695924,18
1035,55,0.125821643817685,18
1122,55,0.153160612124496,18
1141,55,0.305987612905265,18
195,181,0.330342159852681,18
364,181,0.200156348799977,18
394,181,0.267061578989272,18
545,181,0.308395012790243,18
614,181,0.214604752817419,18
628,181,0.209988919870727,18
653,181,0.328733242472862,18
670,181,0.207634329249836,18
688,181,0.187472562703927,18
740,181,0.311590541760089,18
785,181,0.24262882175966,18
857,181,0.290147911922099,18
870,181,0.384265226057264,18
878,181,0.270370225562396,18
880,181,0.272722536618588,18
961,181,0.30021423631959,18
1121,181,0.215228900882268,18
1141,181,0.163070965957951,18
208,195,0.170673469543248,18
231,195,0.293513802773588,18
378,195,0.174225600957958,18
394,195,0.336360664261878,18
475,195,0.301584080790355,18
545,195,0.371801437928369,18
628,195,0.335972489657863,18
670,195,0.369066474126343,18
683,195,0.275086912986559,18
688,195,0.345254027350922,18
740,195,0.353048969349928,18
785,195,0.31100392824947,18
880,195,0.331573476005052,18
961,195,0.292467129141581,18
1019,195,0.234097656710673,18
1035,195,0.149356094114033,18
1122,195,0.21132262015366,18
1141,195,0.329597905094677,18
364,208,0.243005471993624,18
394,208,0.16551795797156,18
545,208,0.194667527880358,18
614,208,0.249689740343365,18
628,208,0.253903268935061,18
653,208,0.181344425753595,18
670,208,0.219997217342044,18
688,208,0.269493445733859,18
740,208,0.260628957581138,18
785,208,0.172774200560111,18
857,208,0.143466181686736,18
870,208,0.179933211406158,18
878,208,0.166517292445246,18
880,208,0.194810671198445,18
961,208,0.272476279527171,18
1121,208,0.204949736768636,18
1141,208,0.284905273373248,18
364,231,0.158135399002812,18
394,231,0.227124337909467,18
545,231,0.253409535057825,18
614,231,0.223100084912133,18
628,231,0.242412468809982,18
653,231,0.140193595256105,18
670,231,0.284188714923755,18
688,231,0.230028921162253,18
740,231,0.228771014595745,18
785,231,0.274954885934512,18
857,231,0.22306613397998,18
870,231,0.276377058550192,18
878,231,0.18473696148514,18
880,231,0.159523463938991,18
961,231,0.192880449333183,18
1121,231,0.0887341198805351,18
1141,231,0.227393819523612,18
378,364,0.153339117143421,18
394,364,0.297225065501083,18
475,364,0.209941245119644,18
545,364,0.329959753836007,18
628,364,0.348108829217257,18
670,364,0.34242248598841,18
683,364,0.249534551214607,18
688,364,0.318619207509828,18
740,364,0.347354496394861,18
785,364,0.29112499252672,18
880,364,0.339409561020086,18
961,364,0.355514422961528,18
1019,364,0.18136261938141,18
1035,364,0.264383127777339,18
1122,364,0.169249904486497,18
1141,364,0.338207656766598,18
394,378,0.249226524008227,18
